Product_ID,Category,Sub_Category,Brand,Product_Name,Unit_Price,Launch_Year
PROD109,Furniture,Binders,BrandA,Product_109,543.04,2016
PROD110,Furniture,Chairs,BrandB,Product_110,486.51,2021
PROD111,Furniture,Storage,BrandC,Product_111,142.7,2015
PROD112,Furniture,Storage,BrandB,Product_112,69.84,2023
PROD113,Technology,Storage,BrandC,Product_113,1005.88,2022
PROD114,Furniture,Binders,BrandC,Product_114,138.69,2015
PROD115,Technology,Chairs,BrandC,Product_115,592.74,2016
PROD116,Office Supplies,Phones,BrandB,Product_116,1297.95,2018
PROD117,Furniture,Chairs,BrandC,Product_117,624.65,2022
PROD118,Office Supplies,Chairs,BrandB,Product_118,575.83,2016
PROD119,Office Supplies,Storage,BrandA,Product_119,1201.57,2018
PROD120,Furniture,Chairs,BrandC,Product_120,792.04,2016
PROD121,Office Supplies,Binders,BrandA,Product_121,1419.92,2016
PROD122,Technology,Binders,BrandA,Product_122,1017.44,2021
PROD123,Technology,Binders,BrandC,Product_123,1284.76,2022
PROD124,Office Supplies,Chairs,BrandC,Product_124,739.12,2023
PROD125,Office Supplies,Phones,BrandC,Product_125,609.74,2016
PROD126,Office Supplies,Chairs,BrandB,Product_126,309.75,2016
PROD127,Technology,Phones,BrandA,Product_127,1877.31,2023
PROD128,Technology,Binders,BrandC,Product_128,1619.43,2017
PROD129,Office Supplies,Phones,BrandB,Product_129,1879.16,2015
PROD130,Office Supplies,Binders,BrandC,Product_130,411.49,2017
PROD131,Office Supplies,Binders,BrandC,Product_131,1869.65,2017
PROD132,Furniture,Phones,BrandA,Product_132,1874.72,2023
PROD133,Office Supplies,Phones,BrandB,Product_133,602.91,2021
PROD134,Technology,Chairs,BrandA,Product_134,585.54,2022
PROD135,Technology,Binders,BrandB,Product_135,1125.29,2016
PROD136,Technology,Phones,BrandA,Product_136,411.31,2023
PROD137,Technology,Binders,BrandB,Product_137,912.1,2017
PROD138,Furniture,Chairs,BrandB,Product_138,411.37,2017
PROD139,Furniture,Phones,BrandA,Product_139,1897.38,2018
PROD140,Furniture,Storage,BrandC,Product_140,1012.96,2020
PROD141,Office Supplies,Binders,BrandB,Product_141,1929.64,2017
PROD142,Office Supplies,Binders,BrandC,Product_142,1307.64,2017
PROD143,Furniture,Binders,BrandC,Product_143,994.42,2018
PROD144,Technology,Phones,BrandC,Product_144,1937.01,2023
PROD145,Office Supplies,Chairs,BrandB,Product_145,329.22,2022
PROD146,Furniture,Storage,BrandB,Product_146,1283.04,2019
PROD147,Office Supplies,Binders,BrandC,Product_147,1340.68,2016
PROD148,Technology,Storage,BrandA,Product_148,895.99,2020
PROD149,Furniture,Chairs,BrandB,Product_149,165.75,2016
PROD150,Office Supplies,Binders,BrandA,Product_150,1010.81,2022
PROD151,Furniture,Phones,BrandC,Product_151,957.01,2016
PROD152,Furniture,Storage,BrandB,Product_152,1623.16,2015
PROD153,Furniture,Binders,BrandA,Product_153,550.49,2021
PROD154,Technology,Chairs,BrandA,Product_154,813.29,2022
PROD155,Office Supplies,Binders,BrandC,Product_155,518.34,2015
PROD156,Office Supplies,Phones,BrandB,Product_156,1388.56,2023
PROD157,Furniture,Binders,BrandA,Product_157,1980.27,2023
PROD158,Furniture,Storage,BrandC,Product_158,395.99,2020
PROD159,Furniture,Chairs,BrandA,Product_159,1651.82,2021
PROD160,Office Supplies,Phones,BrandB,Product_160,500.43,2015
PROD161,Furniture,Binders,BrandA,Product_161,163.05,2018
PROD162,Technology,Phones,BrandC,Product_162,320.69,2021
PROD163,Office Supplies,Phones,BrandA,Product_163,1873.55,2019
PROD164,Furniture,Binders,BrandA,Product_164,1782.66,2018
PROD165,Furniture,Binders,BrandC,Product_165,614.06,2020
PROD166,Furniture,Binders,BrandB,Product_166,1898.14,2020
PROD167,Office Supplies,Binders,BrandB,Product_167,1707.36,2019
PROD168,Technology,Phones,BrandC,Product_168,897.58,2017
PROD169,Technology,Storage,BrandC,Product_169,962.7,2022
PROD170,Technology,Phones,BrandC,Product_170,1278.21,2016
PROD171,Furniture,Storage,BrandC,Product_171,358.16,2023
PROD172,Furniture,Chairs,BrandA,Product_172,78.83,2020
PROD173,Furniture,Storage,BrandB,Product_173,567.75,2020
PROD174,Furniture,Storage,BrandB,Product_174,80.12,2022
PROD175,Technology,Chairs,BrandB,Product_175,1365.27,2023
PROD176,Office Supplies,Binders,BrandC,Product_176,1125.36,2023
PROD177,Technology,Storage,BrandC,Product_177,677.21,2022
PROD178,Technology,Binders,BrandC,Product_178,1571.39,2018
PROD179,Office Supplies,Chairs,BrandA,Product_179,334.28,2015
PROD180,Office Supplies,Storage,BrandB,Product_180,527.52,2019
PROD181,Office Supplies,Phones,BrandC,Product_181,620.01,2023
PROD182,Office Supplies,Storage,BrandC,Product_182,432.07,2018
PROD183,Technology,Phones,BrandB,Product_183,221.48,2023
PROD184,Furniture,Binders,BrandC,Product_184,1746.45,2017
PROD185,Office Supplies,Chairs,BrandB,Product_185,221.97,2023
PROD186,Technology,Binders,BrandA,Product_186,1383.24,2023
PROD187,Office Supplies,Storage,BrandA,Product_187,284.78,2020
PROD188,Technology,Chairs,BrandC,Product_188,70.86,2022
PROD189,Technology,Chairs,BrandB,Product_189,1136.67,2016
PROD190,Furniture,Chairs,BrandA,Product_190,1818.86,2017
PROD191,Technology,Storage,BrandB,Product_191,1727.89,2021
PROD192,Technology,Storage,BrandC,Product_192,709.98,2023
PROD193,Office Supplies,Chairs,BrandA,Product_193,102.96,2019
PROD194,Office Supplies,Storage,BrandC,Product_194,1611.68,2015
PROD195,Furniture,Phones,BrandA,Product_195,1621.67,2017
PROD196,Furniture,Storage,BrandC,Product_196,1743.55,2023
PROD197,Furniture,Binders,BrandA,Product_197,1355.81,2020
PROD198,Technology,Chairs,BrandB,Product_198,1625.17,2019
PROD199,Furniture,Chairs,BrandC,Product_199,1800.12,2022
PROD200,Technology,Chairs,BrandB,Product_200,934.97,2021
