Employee_ID,Department_ID,Location_ID,JobRole_ID,Age,Gender,Education_ID,Years_Experience,Date_of_Joining,Joining_Date_ID,Performance_Rating,Engagement_Score,Work_Life_Balance,Salary,Attrition,Absenteeism_Days,Training_Hours,Last_Hike_Percentage,Promotion_Last_3_Years,Satisfaction_Score,Remote_Work_Percentage,Overtime_Hours,Last_Review_Date,Last_Review_Date_ID,Tenure_Years,Age_Group,Performance_Category,Salary_Per_Year_Experience,Comp_Ratio
10047,2,3,1,29,Female,2,6,2020-10-26,2126,2,2,3,850472,No,1,99,11,Yes,2,26,9,2021-09-14,2449,4.180698151950718,21-30,Low,121496.0,0.8745591069228696
10048,4,2,4,33,Female,2,9,2020-10-26,2126,1,2,3,251499,No,1,30,7,No,2,40,5,2022-03-23,2639,4.180698151950718,31-40,Low,25149.9,0.8242977053951565
10049,4,4,1,34,Female,2,11,2022-02-25,2613,5,4,4,999371,No,2,80,27,Yes,4,59,11,2023-01-28,2950,2.847364818617385,31-40,High,83280.91666666667,1.027675231218212
10050,2,1,3,32,Male,2,9,2019-12-02,1797,1,1,4,426306,Yes,17,53,8,No,2,72,10,2021-05-02,2314,5.08145106091718,31-40,Low,42630.6,0.8793621980651416
10051,5,3,4,21,Female,1,0,2020-03-27,1913,1,2,4,250000,Yes,10,16,3,No,2,45,6,2021-05-28,2340,4.763860369609857,21-30,Low,250000.0,0.8193846748845487
10052,6,1,1,36,Female,1,13,2018-07-20,1297,2,3,4,940189,No,1,63,2,No,3,52,7,2019-05-03,1584,6.450376454483231,31-40,Low,67156.35714285714,0.9668170759045634
10053,5,2,3,27,Female,2,5,2022-04-18,2665,2,4,5,400000,Yes,6,28,10,No,4,86,11,2023-08-30,3164,2.704996577686516,21-30,Low,66666.66666666667,0.8250995276305204
10054,4,1,1,25,Female,1,6,2019-04-20,1571,2,4,3,864092,No,1,83,0,No,3,51,6,2020-04-14,1931,5.700205338809035,21-30,Low,123441.71428571429,0.8885648531864615
10055,2,4,4,34,Male,2,9,2017-03-14,804,1,3,3,278186,No,1,18,7,No,2,28,10,2018-01-01,1097,7.800136892539356,31-40,Low,27818.6,0.9117653806697322
10056,2,5,4,41,Male,3,21,2019-03-11,1531,5,5,4,409105,Yes,9,44,25,No,4,13,4,2020-03-06,1892,5.809719370294319,41-50,High,18595.68181818182,1.3408574696745732
10057,6,2,5,34,Female,2,10,2019-06-02,1614,4,3,2,749366,Yes,7,59,26,Yes,2,42,4,2020-07-18,2026,5.582477754962355,31-40,High,68124.18181818182,1.0329806510664898
10058,1,4,4,34,Female,3,15,2019-09-26,1730,4,4,5,324001,No,3,78,18,No,4,30,3,2020-09-20,2090,5.2648870636550305,31-40,High,20250.0625,1.0619258161890746
10059,4,3,4,31,Female,1,6,2021-09-24,2459,2,1,3,250000,Yes,5,42,8,No,2,40,8,2022-12-05,2896,3.268993839835729,31-40,Low,35714.28571428572,0.8193846748845487
10060,4,5,1,32,Female,3,11,2015-10-02,275,5,5,2,1078561,No,10,45,22,No,3,58,8,2017-01-27,758,9.248459958932239,31-40,High,89880.08333333333,1.109108054023927
10061,4,4,2,34,Female,4,10,2018-11-18,1418,5,5,4,400755,No,1,48,28,Yes,4,49,10,2019-10-09,1743,6.119096509240246,31-40,High,36432.27272727273,1.099425809230398
10062,6,1,3,33,Other,4,13,2017-11-01,1036,3,5,5,525903,No,2,59,14,No,4,89,14,2018-10-09,1378,7.1649555099247095,31-40,Medium,37564.5,1.084805792198684
10063,2,3,3,37,Female,2,16,2015-11-21,325,3,3,5,573221,No,5,54,9,No,3,45,10,2017-03-14,804,9.111567419575634,31-40,Medium,33718.882352941175,1.1824109408197363
10064,2,2,3,30,Male,4,11,2016-06-01,518,5,5,5,506799,No,4,44,29,Yes,5,84,7,2017-05-19,870,8.583162217659138,21-30,High,42233.25,1.0453990387590504
10065,1,1,1,46,Other,1,24,2020-10-23,2123,2,4,4,1220575,Yes,6,43,10,No,3,52,7,2021-08-30,2434,4.188911704312115,41-50,Low,48823.0,1.2551441810340396
10066,3,1,1,29,Male,2,4,2022-11-27,2888,4,5,4,954810,Yes,4,49,21,Yes,4,54,7,2023-10-27,3222,2.0944558521560577,21-30,High,190962.0,0.9818521725359861
10067,2,5,3,25,Male,2,2,2020-02-13,1870,1,1,4,400000,Yes,5,22,5,No,2,77,13,2021-01-21,2213,4.8815879534565365,21-30,Low,133333.33333333334,0.8250995276305204
10068,2,5,2,24,Female,2,1,2020-05-23,1970,1,1,5,300000,No,4,14,9,No,2,64,14,2021-04-25,2307,4.607802874743326,21-30,Low,150000.0,0.8230159143843978
10069,5,3,3,29,Female,1,5,2017-12-20,1085,4,4,3,437247,Yes,12,50,27,Yes,3,53,15,2019-03-14,1534,7.030800821355236,21-30,High,72874.5,0.9019307328946554
10070,6,5,3,41,Female,1,18,2018-04-07,1193,5,3,3,562429,No,3,40,22,No,3,84,8,2019-03-19,1539,6.7351129363449695,41-50,High,29601.526315789473,1.160149755564265
10071,2,4,3,39,Male,2,18,2017-02-19,781,2,1,3,490666,No,4,26,10,No,2,56,14,2018-02-16,1143,7.863107460643395,31-40,Low,25824.526315789473,1.0121207120608924
10072,2,1,1,38,Female,3,18,2022-11-14,2875,3,3,3,1149968,No,0,61,12,No,3,49,9,2024-05-04,3412,2.130047912388775,31-40,Medium,60524.63157894737,1.1825374463472973
10073,6,1,5,31,Male,3,10,2020-09-21,2091,3,4,3,741551,No,0,63,14,No,3,40,9,2021-09-20,2455,4.276522929500342,31-40,Medium,67413.72727272728,1.022207886105063
10074,1,1,1,46,Female,3,24,2021-04-16,2298,4,3,3,1355300,No,3,46,18,No,3,55,3,2022-05-23,2700,3.7097878165639973,41-50,High,54212.0,1.393684868652425
10075,1,1,2,37,Male,2,17,2019-11-11,1776,3,2,3,437381,No,1,10,9,Yes,2,81,11,2020-12-16,2177,5.138945927446954,31-40,Medium,24298.944444444445,1.1999050788312076
10076,2,1,3,36,Female,2,14,2020-04-06,1923,3,5,5,481780,No,3,24,16,No,4,74,14,2021-03-09,2260,4.736481861738535,31-40,Medium,32118.666666666668,0.9937911260545803
10077,4,2,1,34,Female,1,14,2016-08-25,603,5,3,3,1201073,No,4,95,15,No,3,23,6,2017-08-04,947,8.350444900752908,31-40,High,80071.53333333334,1.2350898444971403
10078,2,4,1,27,Female,1,5,2015-09-23,266,2,1,2,800000,Yes,8,53,10,Yes,1,25,3,2016-10-20,659,9.273100616016427,21-30,Low,133333.33333333334,0.8226576366280086
10079,6,4,1,34,Female,1,15,2018-04-12,1198,4,5,4,1036392,No,0,55,19,No,4,50,7,2019-03-21,1541,6.721423682409308,31-40,High,64774.5,1.0657447416752188
10080,3,3,3,21,Male,2,0,2023-04-13,3025,5,3,4,413862,No,1,81,17,Yes,3,57,9,2024-02-28,3346,1.7193702943189597,21-30,High,413862.0,0.8536933517605562
10081,3,5,4,38,Female,1,15,2017-03-08,798,5,3,3,362335,No,1,45,17,Yes,3,37,7,2018-05-19,1235,7.816563997262149,31-40,High,22645.9375,1.1875669846971717
10082,2,2,3,21,Male,2,0,2018-11-08,1408,2,2,5,400000,No,2,53,1,No,3,75,12,2019-10-21,1755,6.146475017111568,21-30,Low,400000.0,0.8250995276305204
10083,3,4,3,34,Male,2,14,2018-10-22,1391,2,1,4,513093,No,1,44,4,Yes,2,41,13,2020-03-19,1905,6.193018480492813,31-40,Low,34206.2,1.0583819798263165
10084,4,2,2,36,Female,2,12,2023-06-14,3087,3,2,5,349227,Yes,8,56,16,No,3,62,13,2024-10-11,3572,1.5496235455167693,31-40,Medium,26863.615384615383,0.9580645957757337
10085,4,1,1,29,Female,1,10,2023-07-05,3108,3,3,3,1055638,No,3,71,15,Yes,3,40,7,2024-04-29,3407,1.4921286789869952,21-30,Medium,95967.09090909091,1.0855358277683973
10086,4,4,1,35,Male,2,16,2021-11-12,2508,2,1,4,1039098,Yes,11,58,3,No,2,54,8,2022-09-26,2826,3.134839151266256,31-40,Low,61123.41176470588,1.0685273811311131
10087,4,2,4,36,Male,2,12,2022-03-27,2643,5,5,4,353294,No,3,76,22,No,4,25,5,2023-02-08,2961,2.7652292950034223,31-40,High,27176.46153846154,1.157934757314647
10088,6,2,1,26,Female,4,2,2021-01-18,2210,2,1,4,823066,Yes,9,46,5,No,2,57,5,2021-12-01,2527,3.9507186858316223,21-30,Low,274355.3333333333,0.8463769129360856
10089,5,1,5,21,Male,1,0,2018-11-02,1402,3,4,2,605436,Yes,4,42,10,No,3,21,11,2019-10-31,1765,6.16290212183436,21-30,Medium,605436.0,0.8345770604205307
10090,4,3,1,26,Male,2,1,2024-10-17,3578,4,2,2,883763,No,6,73,15,Yes,2,33,9,2024-11-04,3596,0.2053388090349076,21-30,High,441881.5,0.9087929761490985
10091,1,5,3,27,Female,1,5,2022-05-14,2691,4,5,5,502630,No,4,51,22,No,4,85,17,2023-04-07,3019,2.6338124572210813,21-30,High,83771.66666666667,1.0367994389323212
10092,1,1,4,31,Male,1,11,2022-12-23,2914,3,2,4,307502,No,6,12,11,No,3,23,4,2023-11-05,3231,2.023271731690623,31-40,Medium,25625.166666666668,1.007849705185394
10093,2,4,3,30,Male,4,10,2020-08-27,2066,5,5,5,564349,No,5,79,29,Yes,5,58,10,2021-11-18,2514,4.344969199178645,21-30,High,51304.454545454544,1.1641102332968913
10094,4,1,4,22,Female,1,0,2019-04-27,1578,4,2,5,286379,Yes,5,87,19,No,3,47,6,2020-04-23,1940,5.68104038329911,21-30,High,286379.0,0.9386182552350487
10095,3,2,2,32,Female,3,13,2019-07-16,1658,5,4,3,410104,No,4,99,19,Yes,3,61,16,2020-09-13,2083,5.462012320328542,31-40,High,29293.14285714286,1.125073728508997
10096,3,1,2,43,Female,2,19,2020-08-10,2049,4,3,4,420407,No,1,42,28,Yes,3,50,13,2021-12-13,2539,4.39151266255989,41-50,High,21020.35,1.1533388383953385
10097,5,3,2,35,Female,1,10,2018-10-11,1380,2,1,5,316750,Yes,10,21,5,No,2,68,11,2019-08-24,1697,6.223134839151267,31-40,Low,28795.454545454544,0.86896763627086
10098,5,1,4,27,Female,2,2,2023-04-06,3018,1,1,3,250000,Yes,7,16,2,No,1,10,6,2024-03-27,3374,1.7385352498288844,21-30,Low,83333.33333333333,0.8193846748845487
10099,6,3,2,43,Male,2,19,2020-06-11,1989,4,4,3,441397,No,1,52,27,No,3,53,6,2021-10-16,2481,4.555783709787817,41-50,High,22069.85,1.2109225185384336
10100,2,1,2,31,Female,4,11,2022-01-13,2570,5,4,3,430104,No,6,70,29,No,3,64,13,2022-12-24,2915,2.965092402464066,31-40,High,35842.0,1.1799414561346235
10101,4,1,5,29,Other,3,7,2020-03-27,1913,3,3,2,748860,No,7,44,19,No,2,53,7,2021-09-11,2446,4.763860369609857,21-30,Medium,93607.5,1.0322831438277846
10102,2,3,2,37,Female,2,12,2021-12-27,2553,5,5,4,424808,No,0,74,23,Yes,4,55,7,2023-01-13,2935,3.0116358658453115,31-40,High,32677.53846153846,1.1654124818593576
10103,2,1,3,23,Female,2,1,2020-11-05,2136,2,1,3,417145,Yes,13,48,8,No,2,53,10,2021-09-22,2457,4.153319644079398,21-30,Low,208572.5,0.8604653561335837
10104,2,1,5,21,Male,1,1,2016-11-02,672,4,2,2,600000,No,7,85,25,No,2,58,6,2018-02-21,1148,8.161533196440795,21-30,High,300000.0,0.8270836822592618
10105,2,1,3,21,Female,4,0,2019-02-19,1511,5,5,5,429184,No,2,57,20,No,5,68,7,2020-01-16,1842,5.864476386036961,21-30,High,429184.0,0.8852987891664432
10106,3,3,2,25,Female,2,5,2016-06-01,518,1,2,4,321866,No,2,24,5,No,2,53,14,2016-12-19,719,8.583162217659138,21-30,Low,53644.333333333336,0.8830028009974953
10107,5,3,4,26,Male,2,7,2017-12-17,1082,1,1,3,250000,Yes,12,39,0,No,1,38,7,2019-05-18,1599,7.039014373716633,21-30,Low,31250.0,0.8193846748845487
10108,1,1,2,38,Female,1,16,2021-10-15,2480,2,2,4,399883,No,3,28,1,Yes,2,75,9,2022-11-24,2885,3.2114989733059547,31-40,Low,23522.529411764706,1.0970335763059205
10109,4,1,2,50,Male,1,25,2019-05-05,1586,3,5,4,478852,No,3,24,19,No,4,83,14,2019-12-11,1806,5.6591375770020536,41-50,Medium,18417.384615384617,1.3136760554493256
10110,3,2,2,36,Female,2,11,2021-09-05,2440,2,1,5,339284,Yes,13,45,6,No,2,82,9,2022-12-22,2913,3.3210130047912387,31-40,Low,28273.666666666668,0.9307871049866534
10111,2,1,3,27,Female,2,7,2024-10-11,3572,4,3,5,442790,No,1,73,23,No,4,88,15,2024-12-08,3630,0.22176591375770022,21-30,High,55348.75,0.9133645495987953
10112,3,4,1,44,Male,1,21,2023-12-05,3261,5,3,4,1167590,No,1,76,16,No,3,49,10,2024-09-07,3538,1.0732375085557837,41-50,High,53072.27272727273,1.2006585374381207
10113,2,3,3,32,Male,2,7,2024-10-12,3573,4,4,5,518604,No,2,71,25,No,4,45,13,2024-10-25,3586,0.2190280629705681,31-40,High,64825.5,1.069749788568246
10114,4,3,2,29,Female,1,7,2018-02-27,1154,3,1,5,367181,Yes,9,22,17,Yes,3,87,10,2019-04-07,1558,6.841889117043121,21-30,Medium,45897.625,1.0073193548652586
10115,3,1,2,37,Male,1,16,2024-06-03,3442,3,5,3,403353,No,4,36,11,Yes,3,82,9,2024-10-18,3579,0.5776865160848734,31-40,Medium,23726.647058823528,1.1065531270489668
10116,2,3,3,21,Female,1,0,2021-05-22,2334,2,2,5,400000,No,4,26,7,No,3,52,14,2022-04-16,2663,3.6112251882272415,21-30,Low,400000.0,0.8250995276305204
10117,1,4,2,21,Female,2,0,2020-08-05,2044,2,1,5,300000,Yes,13,24,5,No,2,45,16,2022-01-15,2572,4.405201916495551,21-30,Low,300000.0,0.8230159143843978
10118,3,3,3,22,Male,1,2,2021-05-15,2327,1,1,3,400000,No,2,51,8,No,1,45,14,2022-01-03,2560,3.6303901437371664,21-30,Low,133333.33333333334,0.8250995276305204
10119,6,3,3,31,Female,1,8,2016-07-11,558,5,5,5,482537,No,2,71,29,No,5,87,12,2017-09-15,989,8.473648186173854,31-40,High,53615.22222222222,0.9953526269106211
10120,2,3,2,39,Other,4,16,2024-07-21,3490,5,4,3,400398,No,0,44,29,No,3,68,8,2024-12-19,3641,0.4462696783025325,31-40,High,23552.823529411766,1.0984464202922803
10121,4,3,2,35,Female,1,15,2021-12-01,2527,5,5,4,466385,No,1,59,15,No,4,84,8,2022-08-22,2791,3.082819986310746,31-40,High,29149.0625,1.2794742574338913
10122,4,1,1,29,Female,1,8,2022-11-16,2877,4,5,3,940399,No,1,68,17,No,4,42,6,2024-03-04,3351,2.1245722108145104,21-30,High,104488.77777777778,0.9670330235341783
10123,6,3,1,21,Other,1,1,2021-08-22,2426,4,5,4,800000,No,1,86,29,Yes,4,46,2,2022-12-01,2892,3.359342915811088,21-30,High,400000.0,0.8226576366280086
10124,5,1,3,21,Male,4,1,2020-07-04,2012,3,3,3,400000,No,1,23,9,No,3,57,16,2021-04-30,2312,4.492813141683778,21-30,Medium,200000.0,0.8250995276305204
10125,4,3,3,28,Female,1,5,2020-05-22,1969,5,3,5,524236,No,0,93,25,Yes,4,79,9,2021-05-02,2314,4.610540725530458,21-30,High,87372.66666666667,1.0813671899172839
10126,4,4,1,42,Female,2,18,2020-11-11,2142,5,4,2,1117283,No,5,71,28,Yes,3,59,10,2022-03-14,2630,4.136892539356605,41-50,High,58804.36842105263,1.148926740280814
10127,5,4,3,21,Female,1,0,2020-10-11,2111,3,5,4,403291,No,2,56,12,No,4,45,17,2021-07-18,2391,4.2217659137577,21-30,Medium,403291.0,0.8318880339941005
10128,2,2,5,51,Female,3,31,2017-11-13,1048,3,5,3,943286,No,1,47,19,No,3,58,2,2019-01-14,1475,7.132101300479124,51-60,Medium,29477.6875,1.3002940971726833
10129,2,1,1,34,Male,3,14,2022-05-07,2684,3,5,3,1015990,No,2,82,15,No,3,25,4,2023-10-24,3219,2.652977412731006,31-40,Medium,67732.66666666667,1.044764915297113
10130,1,1,2,43,Male,1,18,2018-10-18,1387,2,1,4,398160,No,0,28,1,Yes,2,46,14,2019-09-19,1723,6.203969883641341,41-50,Low,20955.78947368421,1.0923067215709727
10131,5,3,4,38,Female,1,16,2016-05-25,511,5,5,5,379664,No,0,51,23,No,5,20,4,2017-09-07,981,8.602327173169062,31-40,High,22333.176470588234,1.244363452821469
10132,5,4,1,21,Female,3,0,2018-04-18,1204,2,1,4,800000,Yes,8,62,9,No,2,57,8,2019-02-13,1505,6.704996577686516,21-30,Low,800000.0,0.8226576366280086
10133,1,3,3,21,Female,2,0,2016-05-13,499,2,1,5,400000,Yes,4,34,5,No,2,58,17,2017-05-08,859,8.635181382614647,21-30,Low,400000.0,0.8250995276305204
10134,4,1,5,38,Other,2,18,2021-05-09,2321,2,4,4,845326,No,7,94,11,No,3,31,9,2022-10-16,2846,3.646817248459959,31-40,Low,44490.84210526316,1.1652589013158212
10135,3,5,1,33,Male,1,10,2020-01-21,1847,5,3,4,963037,No,1,77,21,Yes,3,27,2,2021-04-14,2296,4.944558521560575,31-40,High,87548.81818181818,0.9903121780066594
10136,1,5,4,25,Other,1,0,2021-12-25,2551,3,2,4,265771,No,1,56,18,No,3,13,1,2022-12-07,2898,3.0171115674195756,21-30,Medium,265771.0,0.8710747377149656
10137,6,2,2,22,Male,2,0,2024-12-03,3625,3,4,5,305428,No,4,14,13,No,4,67,10,2024-10-11,3572,0.07665982203969883,21-30,Medium,305428.0,0.8379070156619929
10138,2,3,1,28,Female,2,7,2019-05-21,1602,4,4,2,1033719,No,9,82,23,No,3,31,6,2020-06-15,1993,5.61533196440794,21-30,High,129214.875,1.0629960368468356
10139,1,3,2,24,Female,2,4,2018-12-17,1447,5,5,5,349086,No,3,88,28,No,5,74,7,2019-11-04,1769,6.039698836413415,21-30,High,69817.2,0.957677778295973
10140,4,3,1,39,Male,1,18,2021-11-25,2521,2,1,3,935528,No,1,95,11,Yes,2,33,6,2022-12-25,2916,3.0992470910335386,31-40,Low,49238.31578947369,0.9620240668491595
10141,4,5,2,37,Female,1,14,2022-02-20,2608,5,5,5,459857,No,3,88,19,No,5,86,18,2023-05-08,3050,2.861054072553046,31-40,High,30657.133333333335,1.2615654311368867
10142,1,1,1,39,Male,3,17,2021-11-04,2500,4,3,3,1071856,No,0,45,27,No,3,25,2,2022-09-12,2812,3.156741957563313,31-40,High,59547.555555555555,1.1022131547069385
10143,4,3,4,30,Female,2,5,2017-12-03,1068,4,5,4,295602,No,0,95,19,No,4,40,2,2019-05-11,1592,7.077344284736482,21-30,High,49267.0,0.9688469946608894
